,0,1
208,42001,52
209,42003,848
210,42005,26
211,42007,26
212,42009,0
213,42011,13
214,42013,169
215,42015,0
216,42017,887
217,42019,13
218,42021,182
219,42023,0
220,42025,52
221,42027,26
222,42029,117
223,42031,0
224,42033,39
225,42035,26
226,42037,13
227,42039,78
228,42041,13
229,42043,169
230,42045,587
231,42047,13
232,42049,52
233,42051,104
234,42053,0
235,42055,104
236,42057,13
237,42059,13
238,42061,0
239,42063,0
240,42065,13
241,42067,0
242,42069,91
243,42071,65
244,42073,65
245,42075,13
246,42077,91
247,42079,130
248,42081,104
249,42083,104
250,42085,26
251,42087,26
252,42089,91
253,42091,26
254,42093,13
255,42095,52
256,42097,26
257,42099,26
258,42101,1853
259,42103,26
260,42105,78
261,42107,52
262,42109,13
263,42111,26
264,42113,13
265,42115,13
266,42117,0
267,42119,39
268,42121,78
269,42123,39
270,42125,91
271,42127,26
272,42129,365
273,42131,13
274,42133,326
